,PRICE,BRAND,YEAR,COLOR,STATE
118,26500,CHRYSLER,2017,GRAY,MICHIGAN
119,24802,CHEVROLET,2017,GRAY,MICHIGAN
120,7070,FORD,2017,BLACK,TEXAS
121,28500,FORD,2017,RED,SOUTH CAROLINA
122,47500,CADILLAC,2017,BLACK,MICHIGAN
123,23500,FORD,2017,BLACK,SOUTH CAROLINA
124,23505,CHEVROLET,2017,BLACK,MICHIGAN
125,10940,FORD,2017,WHITE,TEXAS
126,32100,FORD,2017,GRAY,SOUTH CAROLINA
127,53000,CHEVROLET,2018,BLACK,WASHINGTON
128,6830,FORD,2017,GOLD,TEXAS
129,11900,DODGE,2017,GRAY,SOUTH CAROLINA
130,26414,CHEVROLET,2017,BLACK,MICHIGAN
131,4160,DODGE,2018,GRAY,FLORIDA
132,19405,CHEVROLET,2017,SILVER,MICHIGAN
133,5690,DODGE,2018,SILVER,FLORIDA
134,25900,CHRYSLER,2017,SILVER,SOUTH CAROLINA
135,24005,CHEVROLET,2017,BEIGE,MICHIGAN
136,5090,DODGE,2018,GRAY,FLORIDA
137,19500,CHRYSLER,2017,GRAY,ARIZONA
138,32012,CHEVROLET,2017,WHITE,MICHIGAN
139,6800,DODGE,2016,BLACK,MICHIGAN
140,4260,DODGE,2018,GRAY,FLORIDA
141,0,DODGE,2008,ORANGE,UTAH
142,31802,CHEVROLET,2017,SILVER,MICHIGAN
143,7210,DODGE,2018,BLACK,FLORIDA
144,0,DODGE,2014,SILVER,UTAH
145,28402,CHEVROLET,2017,BLACK,MICHIGAN
146,6800,DODGE,2018,GRAY,FLORIDA
147,33300,CADILLAC,2015,GRAY,WASHINGTON
148,10780,DODGE,2018,WHITE,FLORIDA
149,6700,FORD,2014,BEIGE,PENNSYLVANIA
150,20000,CHEVROLET,2016,WHITE,WASHINGTON
151,6440,CHRYSLER,2018,GRAY,FLORIDA
152,19900,FORD,2016,GRAY,SOUTH CAROLINA
153,37000,CHEVROLET,2015,WHITE,WASHINGTON
154,4040,DODGE,2018,RED,FLORIDA
